name,longitude,latitude,Status Area,Fund Provider,Type of Financing,Intermediaries [Roles],Beneficiaries,Focussed Area,Duration,Commodity [solution-oriented],Ecosystem Services,More Info,Classification_Rationale,Macro_Financing_Type,Macro_Classification_Reason
Htamanthi Wildlife Sanctuary,95.58247244,25.43467075,Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF) - Grant Amount: $240,000.00",Philanthropic / NGO Grant,"WCS (remote technical/husbandry advisory, joint reporting); MBF (field implementation, HQ updates, joint reporting); TSA (field command, managerial oversight, husbandry technical input, joint reporting); WeCan (on-ground integration, financial reporting, permitting, government liaison, trade monitoring, monastery outreach); Forest Department (reintroduction permitting).","~110 people benefited (CCVs, TSA staff, laborers, fishermen, vegetable growers); target 150 people/22 communities. 86 CCVs trained (76M/10F); 6 Turtle Champions; Burmese Star Tortoise: target 7,000 free-ranging (~5,000 achieved, 1,000+ reintroduced at Minzontaung, 2,700 released at Shwe Settaw, 1,000 head-started, ~3,000 hatchlings). Burmese Roofed Turtle: target 2,000 adults (100 released, 200+/yr hatchlings at Mandalay Zoo, 30-40/yr at Yangon Zoo/Lawkanandar). Plus assurance colonies of 5 other turtle/tortoise species.","Central Myanmar and along the upper Chindwin River, Sagaing Region. Includes two 1-hectare temporary acclimation pens within Shwe Settaw Wildlife Sanctuary.",2022-2024,Captive-breeding & assurance colonies; head-starting and reintroduction of tortoises/turtles; egg translocation; floating acclimation pens for river conditioning; radio/sonic telemetry monitoring; Turtle Champions and CCV patrol/nest-monitoring teams; outreach and education; contracted local vegetable growers and fishermen for feed supply; nesting-site protection.,,https://www.cepf.net/grants/grantee-projects/back-brink-recovering-two-critically-endangered-turtles-myanmar;https://www.cepf.net/resources/final-project-report/final-project-report-111860;  https://www.cepf.net/resources/final-project-report/final-project-report-111860,"Financed by non-governmental organizations, philanthropic foundations, or charities (identified via fund description).",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Htamanthi Wildlife Sanctuary,95.58247244,25.43467075,Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (Grant Amount: $20,000.00); French government / AFD (Additional funding grant of 1.5m EUR, with $72,800.00 specifically for protection and monitoring of the two bird species)",General Grant,"WCS (implementer – awareness, nest monitoring, surveys); Forest Department/Takaung Township FD (community engagement, threat and nest monitoring).","Communities along the Chindwin and Ayeyarwady rivers; 7 villages engaged in awareness activities; 6 men trained in survey methods, nest protection, data management and SMART patrolling; 3 men compensated for monitoring/patrol work; River Tern (31 nests protected, 10 chicks fledged) and Black-bellied Tern (1 nest protected, 3 chicks fledged) protected.",80 Kilometres along the Upper Chindwin River (from Linpha area down to near Htamanthi Wildlife Sanctuary); Ayeyarwady River (Takaung and Ye Nan Chaung sites); 2613 kilometres of survey effort,2020-2021,"Community nest-production schemes; nest monitoring and guarding; conservation education and outreach (exercise books, T-shirts, signage); SMART patrolling; draft Ramsar-site designation framework.","Supporting: protection of riverine habitat, sandbanks and nesting/breeding grounds for threatened tern species. Provisioning: N/A. Cultural: conservation education and awareness-raising in villages and schools.",https://www.cepf.net/grants/grantee-projects/protection-river-tern-and-black-bellied-tern-myanmar;https://www.cepf.net/resources/final-project-report/final-project-report-2424;  https://www.cepf.net/resources/final-project-report/final-project-report-2424,"Generic grant funding without specific details distinguishing it as bilateral, multilateral, or NGO.",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Hukaung Valley Wildlife Sanctuary,96.82684426,26.70178323,Wildlife Sanctuary,Wildlife Conservation Society (WCS) & Myanmar Government,Blended Finance / Co-Financing,"WCS Myanmar Program (tiger population monitoring, biological censuses & technical conservation support); NWCD/FD (official state management & enforcement)","Critically endangered Indochinese tiger, sympatric species (Asian elephants, Hoolock gibbons) & local villagers","Hukaung Valley, Kachin State, Myanmar. It is the world's largest tiger reserve, covering approximately 17,477 square kilometers (1.7 million hectares).",,"National Tiger & Biodiversity Action Plan development; Protected Species Categories revision (Myanmar Wildlife Law); conservation awareness & biological survey training (track/sign, camera trap); anti-poaching enforcement",Tiger habitat & biodiversity conservation across Sino-Himalayan & Indo-Malayan forest ecosystems (supporting),"https://programs.wcs.org/myanmar/Wildlife/Tiger.aspx;
https://myanmarbiodiversityfund.org/details/4","Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Hukaung Valley Wildlife Sanctuary,96.82684426,26.70178323,Wildlife Sanctuary,GEF (part of USD 6.02M global grant),Multilateral Grant,UNDP & WCS (Threat tracking/outreach); NWCD (Administrative oversight),"70+ villages (Kachin, Naga, Lisu, Shan); Council of Naga Affairs","1,737,300 ha (Kachin State)",2015 – 2020,Shifting cultivation mitigation; cross-border forest product regulation,"Wildlife dispersal/migratory corridors & habitat for elephants, tigers & wild cattle (supporting)",https://erc.undp.org/evaluation/documents/download/16911,"Funded by international organizations composed of multiple member countries (e.g., GEF, UNDP).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Imawbum National Park,98.5695216,26.45387102,National Park,"Rainforest Trust; USD 273,433 total",Philanthropic / NGO Grant,"FFI Myanmar (indigenous land mapping, park establishment & community integration); local authorities (park designation & governance)","Kachin State indigenous & local communities (paid stakeholders, community rangers, development recipients); critically endangered Myanmar Snub-nosed Monkey, Chinese Pangolin & Sunda Pangolin; endangered Red Panda & Shortridge's Langur; 400+ bird species","380,056 total acres (noted as 386,176 proposed acres in baseline metrics) within the Imawbum Mountain Range, Kachin State, far northeastern Myanmar.",,"Indigenous community inclusion & local authority co-management; indigenous volunteer patrol teams for monitoring & enforcement; park headquarters, ranger stations & field equipment; customary land boundary mapping; community outreach against Myanmar Snub-nosed Monkey hunting",Pristine cloud forest & montane biodiversity in Eastern Himalayas — Asia's richest bird area (Yunnan/Eastern Himalayan EBA overlap) (supporting); forest buffer against logging & subsistence farming support (provisioning & regulating),https://www.rainforesttrust.org/urgent-projects/a-new-national-park-for-the-myanmar-snub-nosed-monkey/,"Funded by non-governmental organizations, foundations, or philanthropic institutions.",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Imawbum National Park,98.5695216,26.45387102,National Park,"Darwin Initiative (UK Government); £289,458 grant + £9,811.65 in physical assets handed over to host country",Bilateral Grant,"FFI (project oversight & implementation); BANCA (biological expeditions, community outreach & park proposals); Oxford Brookes University (conservation science capacity building); NWCD/MOECAF (species protection, PA establishment & gazettement)","600+ residents across 54 villages (460 households, 23 conservation groups) — alternative livelihood grants; local biologists, BANCA members & Forest Department staff trained in primate surveys; critically endangered Myanmar snub-nosed monkey, red panda, takin, tufted deer, Gongshan muntjac & Shortridge leaf monkey","High-altitude N'mai River–China border zone, northeast Myanmar (Proposed Imawbum National Park); 603.4 sq mi (386,225 acres)",2012-2015,"Alternative livelihood grants (walnut, cardamom, goats, mython, pre-school construction); 23 community co-management agreements for non-hunting core zones; camera-trap networks & SMART patrol training; 3,000 multilingual leaflets (Lisu/Burmese/English) & awareness events","Diverse montane forest (300–5,000m), Irrawaddy watershed & Northern Forest Corridor protection; cross-border logging mitigation & carbon emission reduction (regulating & supporting); ancestral tribal land & resource rights protection, flagship species awareness & primate research (cultural)",https://www.darwininitiative.org.uk/documents/DAR19001/24490/19-001%20FR%20edited.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Indawgyi Lake Wildlife Sanctuary,96.94,20.09205,Wildlife Sanctuary; ASEAN Heritage Park,"Norwegian Environment Agency (NEA) — joint program budget of USD 3,043,612 (implemented across multiple sites, not site-specific)",Bilateral Grant,NWCD/FD (local implementing agencies); Norwegian Environment Agency (international cooperating agency & technical review); FFI (draft Management Plan preparation),Nature & Wildlife Conservation Division/Forest Department (local implementing agency); Norwegian Environment Agency (international cooperating agency & technical review); Fauna & Flora International (Management Plan drafting),"Local site managers, regional wetland management networks, and local communities",2015- 2019,"Indawgyi pilot wetland management site; gold mining mitigation fact-finding; field gear distribution (GPS, binoculars, camera traps); hydrological tracking via water depth & migratory bird surveys",Gold mining mitigation for freshwater & watershed protection (regulating); standardized waterbird surveys for habitat health monitoring (supporting); community environmental outreach & education (cultural),https://myanmarwaterportal.com/storage/2019/11/4a.nea-phase-i-kns-copy-2.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Indawgyi Lake Wildlife Sanctuary,96.94,20.09205,Wildlife Sanctuary; ASEAN Heritage Park,"KfW German Financial Cooperation (BMZ No. 2011 66 545) via ASEAN Centre for Biodiversity (ACB); EUR 667,265 total: CMP (EUR 100K), law enforcement (EUR 95K), community forestry (EUR 88.7K), fisheries (EUR 90.6K), agriculture value chains (EUR 88.7K), sustainable tourism (EUR 90.7K) & conservation awareness (EUR 25K)",Bilateral Grant,NWCD-MONREC (primary implementing agency); FFI (SGP implementation at Inlay Lake Wildlife Sanctuary); Inlay Lake Wildlife Sanctuary Park Management (on-site oversight); ASEAN Centre for Biodiversity & GITEC Consulting Group (collaborating bodies); local CBOs & CSOs (grantees),"1,560 local community beneficiaries; 13 Community Forest User Groups (capacity building); 120 households (firewood-saving stoves); waterfowl, critically endangered Baer's Pochard & endangered teak forest protection","77,525 ha sanctuary (including 12,000 ha Indawgyi Lake — largest inland lake in SE Asia); 81,500 ha under law enforcement program",2015- 2019,"Updated CMP, multi-level committees (state/district/township) & park zonation; 22-informant network & SMART co-patrols (halted 2 sand & 3 gold mines); 160 acres degraded forest restored & agroforestry; 10 fish conservation zones, tourism committees & 20+ biodiversity products (shrimp paste, fermented fish, organic rice, green tea, turmeric, bamboo crafts); school/village biodiversity & waste awareness","ASEAN Heritage Park, Ramsar site, UNESCO Biosphere Reserve & East Asian-Australasian Flyway habitat for endemic birds & waterfowl (supporting); disaster risk reduction, food, timber & economic provisioning for lake communities (regulating & provisioning)",https://www.aseanbiodiversity.org/wp-content/uploads/2024/10/Indawgyi_FINAL_02-E-COPY-WITH-LINKS.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Indawgyi Wildlife Sanctuary,96.37255,25.125768,Wetland of International Importance (Ramsar Site); Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF) (Grant Amount: US$ 17,722)",Small / Research Grant,"Inn Chit Thu (grantee/implementer); FFI (implementation, reporting, ecotourism/English training); Indawgyi WS (festival waste-management support); INCDA (plastic-awareness collaboration); WCS & MBNS (ecotourism guide training); FOW (technical/awareness support); Indawgyi CSO Network (village plastic campaigns); Chu Chu (recycling/ToT training); GIZ (hospitality trainers).","165 total beneficiaries (61M/104F); 142 formally trained (52M/90F); 23 with increased income (9M/14F). Targets: communities, women, students, boatmen, guides, homestay/restaurant owners, hospital staff, rangers. Key cohorts: 43 English-class students, 27 hospitality trainees (9 villages), 29 ecotourism-guide trainees (10 villages), 21 environmental-awareness participants, 13 recycling trainees, 17 new Inn Chit Thu members; 15 villages targeted.","Total of 168.1 hectares of Key Biodiversity Areas (KBA) with strengthened management: Shwe Myintzu Pagoda (57.9 hectares), Lonton village (57.8 hectares), Nyaungbin village (15.4 hectares), Lwe Mun village (12.2 hectares), Lonsant village (12.1 hectares), Leponlay Village (9.6 hectares), Nun Mon village (3.1 hectares). Location: Indawgyi basin, Indawgyi Town, Mohnyin Township, Kachin State, Myanmar.",2017-2019,"Community-based ecotourism (bike/boat rental, guiding); small-enterprise and hospitality planning; waste-management systems; recycled-material products (wallets, bags from plastic/tyres); environmental awareness campaigns (KAB survey, signage, media).","Provisioning: livelihoods and income from ecotourism services and recycled goods. Regulating/Supporting: reduced pollution, 65 tons of waste removed at festival, wetland integrity maintained. Cultural: preserved festivals paired with waste management, language/hospitality training, environmental education.",https://www.cepf.net/grants/grantee-projects/building-capacity-community-based-tourism-and-environmental-awareness;https://www.cepf.net/resources/final-project-report/final-project-report-2798;  https://www.cepf.net/resources/final-project-report/final-project-report-2798,"Characterized by smaller-scale, short-term, or academically focused seed funding.",Small / Specialized Grant,Funding is limited to small-scale seed capital or specialized academic research.
Indawgyi Wildlife Sanctuary,96.37255,25.125768,Wetland of International Importance (Ramsar Site); Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF): 20,000 USD; Helmsley: 100,000 USD; GEF-Satoyama: 87,000 USD",Blended Finance / Co-Financing,"FFI (implementer – FCZs, home-garden training); FD/NWCD (oversight, permitting, surveys); DoF (FCZ notification, permits, patrol/enforcement training, law amendment); VFC (community representation, patrol/enforcement); FoW (consultations, awareness, FCZ mapping); Myanmar National TV (documentary); GAD (workshops, police liaison); Police Department (enforcement); Putao District Agriculture Dept (home-garden/paddy/machinery training); Veterinary Department (livestock training).","Benefiting diverse communities—including Rawan, Shan, Kachin, and Bamar groups across the Upper Mali Hka/N'Mai Hka basin, Indawgyi, and the Hponganrazi and Khakaborazi protected areas—this initiative formally trained 450 individuals and boosted incomes for 1,530 people. Furthermore, it protected local aquatic biodiversity while providing thousands with improved land tenure, climate resilience, clean water, energy access, and vital ecosystem services.","Upper Ayeyarwady Basin; Indawgyi Grassland and Indaw Chaung Wetland (MMR31) with an area of 336.29 hectares (N 25 ° 10' 39.99"" E 96 ° 21' 55.03"") in Moe Nhyin District; Hponganrazi Wildlife Sanctuary with an area of 301.20 hectares in Putao District; Khakaborazi National Park in Putao District; Naungmung Township.",2017-2018,Community-based Fish Conservation Zones and Village Fishermen Committees; participatory patrolling/enforcement; livelihood micro-grants; fly-fishing ecotourism; home gardening and seed provision; perennial crops; sustainable paddy cultivation; machinery maintenance; livestock raising; organic vegetable farming.,"Provisioning: increased fish stocks and food security, clean-water and energy access, home-garden produce. Supporting: conserved Upper Ayeyarwady aquatic biodiversity. Cultural: sustainable-fisheries awareness, Man and Biosphere Reserve recognition, community co-management, formal training.",https://www.cepf.net/grants/grantee-projects/community-based-fish-conservation-upper-ayeyarwady-basin;https://www.cepf.net/resources/final-project-report/final-report-2;  https://www.cepf.net/resources/final-project-report/final-report-2,"Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Indawgyi Wildlife Sanctuary,96.37255,25.125768,Wetland of International Importance (Ramsar Site); Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF) [$19,947]",Philanthropic / NGO Grant,Data not available in source file.,Data not available in source file.,"10,000 hectares total (5,000 hectares at each site). Located at Naung Kwin Inn near Indawgyi Lake (Kachin State) and Naung Pho Mel village near Nam San (southern Shan State), with initial activities also in Maing Yaw village (northern Shan State).",2014-2015,"Vulture restaurants (diclofenac-free supplementary carcasses); bird-observation hides; local Vulture Protection Groups; school talks; village-authority engagement meetings; awareness signage; coverage in local weekly journals (The Voice, The 7 Days Journal).","Supporting: vultures' ecological scavenger role, biodiversity conservation. Provisioning: N/A. Cultural: student ecosystem education, birdwatching/recreational value, shifting beliefs (dispelling bad-luck and bone-cure myths).",https://www.cepf.net/grants/grantee-projects/conservation-vultures-myanmar;https://www.cepf.net/resources/final-project-report/final-project-report-21;  https://www.cepf.net/resources/final-project-report/final-project-report-21,"Financed by non-governmental organizations, philanthropic foundations, or charities (identified via fund description).",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Indawgyi Wildlife Sanctuary,96.37255,25.125768,Wetland of International Importance (Ramsar Site); Wildlife Sanctuary; ASEAN Heritage Park,"CEPF ($55,970.00); Oxfam ($5,850.00 - Project Coordinator: $2250, Mobilization Officer: $3600); TNGL ($23,750.00 - Office Place & Furniture: $5400, Office Equipment: $650, Equipment for field operation: $600, Stationary: $900, Project Coordinator: $9000, Mobilization Officer: $7200)",Philanthropic / NGO Grant,"TNGL (implementer – patrolling model, CF activities, awareness campaigns, IEC materials); Forest Department (CF permits/certificates, technical guidance, biodiversity integration); Indawgyi WS (formal recognition, coaching, technical training); WCS (technical training, curriculum support); ALARM (IEC content support); FFI (awareness knowledge-sharing); village administration committees (community patrol support).","4 Community Forest Users' Groups across 4 villages (Kardu, Mawhan, Zee Kone, Kankonegyi); 36 community leaders trained; 81 patrol members trained (Kardu 15, Mawhan 24, Zee Kone 30, Kankonegyi 12); 920 people (455M/465F) across 14 villages reached by awareness campaigns; Hoolock Gibbon protected.","3291 acres in total (Mawhan: 517 Acres, Kardu: 1417 Acres, Zee Kone: 619 Acres, Kankonegyi: 738 Acres), located in Indawgyi Watershed / Indawgyi Wildlife Sanctuary, Kachin State, Myanmar",2017-2018,Community Forestry management plans and 30-year certificates; habitat management and monitoring protocols; patrolling rules; revolving funds; fire-prevention roads; IEC materials; community-based patrol groups.,"Supporting: biodiversity conservation, Hoolock gibbon habitat and food-tree protection, forest-fire control. Provisioning: N/A. Cultural: N/A.",https://www.cepf.net/grants/grantee-projects/piloting-community-based-initiatives-conservation-hoolock-gibbon-indawgyi;https://www.cepf.net/resources/final-project-report/final-project-report-2003;  https://www.cepf.net/resources/final-project-report/final-project-report-2003,"Financed by non-governmental organizations, philanthropic foundations, or charities (identified via fund description).",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Kahilu Wildlife Sanctuary,97.51015901,17.54569624,Wildlife Sanctuary; ASEAN Heritage Park,"Rainforest Trust & partner organizations; ~USD 198,342 (gazettement support)",Philanthropic / NGO Grant,"Friends of Wildlife (community outreach, monitoring & management plan development); Myanmar Forest Department (regulator)",Local rural communities around the sanctuary & global biodiversity,"1,181 sq km (approx. 291,680 acres) in the Sagaing Region (Kalay and Mawlaik Townships)",,,"Critical refuge for Eastern Hoolock Gibbon, clouded leopard, pangolin & Asian elephant (supporting); dry dipterocarp & mixed deciduous forest protection from timber extraction (regulating)",https://www.rainforesttrust.org/urgent-projects/new-wildlife-sanctuary-in-myanmar/,"Funded by non-governmental organizations, foundations, or philanthropic institutions.",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Kaylatha Wildlife Sanctuary,97.09705161,17.22251822,Wildlife Sanctuary,"Critical Ecosystem Partnership Fund (CEPF) (USD 20,000); Biodiversity and Nature Conservation Association (BANCA) (USD 3,941 in-kind for professional fees, travel, supplies, meeting, and support of equipment)",Small / Research Grant,"BANCA (institutional strengthening, technical support, capacity building, M&E, nursery, strategic/policy planning); Kelatha Forever Association (community outreach, implementation, local management); Forest Department (planting participation, permitting); Mon State Regional Government (permitting); IUCN (grant entity); Mr. Kyaw Sunn, plant taxonomist (Thawka-gyi survey); Maubin University (knowledge networking).","33 formally trained (28M/5F); Win Ka village (33 people), Sin Inn (3), Kyar Si Aung (25); Taung Son and Kim villages; 3 coastal villages; 6 villages in Bilin Township; local villagers, students and teachers, ornithologists, Kelatha Forever staff, indigenous people.","2245.38 hectares in Kyeik Hto Township and Bilin Townships, Mon State, Myanmar (Center Latitude N17 ° 13' Longitude E97 ° 07')",2019,"Organizational-development training (financial/office management); comprehensive survey of Thawka-gyi (Amherstia nobilis); biodiversity capacity building; birdwatching training; Financial, Administrative and HR policy development; 3-year Strategic Action Plan (2020–2022); planting of 11 tree species; awareness FGDs; nursery establishment and seedling production; community-based cultural/eco tourism; conservation incentive schemes; collaborative protected-area management.","Supporting: habitat restoration in Kelatha Wildlife Sanctuary and coastal villages along the Gulf of Mottama, Thawka-gyi species conservation. Cultural: community-based cultural and eco-tourism, ecosystem-service education.",https://www.cepf.net/grants/grantee-projects/strengthening-capacity-biodiversity-conservation-kelatha-wildlife-sanctuary;https://www.cepf.net/resources/final-project-report/final-project-report-2780;  https://www.cepf.net/resources/final-project-report/final-project-report-2780,"Characterized by smaller-scale, short-term, or academically focused seed funding.",Small / Specialized Grant,Funding is limited to small-scale seed capital or specialized academic research.
Lampi Marine National Park,98.20355359,10.87548088,Wildlife Sanctuary; ASEAN Heritage Park,"GEF & UNDP — 'Ridge to Reef' landscape projects (USD 5.25M grant, USD 16M co-financing); co-funders: Ministry of Environmental Conservation and Forestry, Green Economy Green Growth Myanmar Association, Tanintharyi Regional Government, Smithsonian Institution & FFI (implemented across multiple sites, not site-specific)",Blended Finance / Co-Financing,"UNDP, MOECAF (Ministry of Environmental Conservation and Forestry) & FFI","Local coastal buffer-zone populations (indigenous Moken ethnic group), marine park authorities, tourism operators & regional fisheries","20,484 Hectares",2015-2021,"Co-management systems, rights-based fisheries frameworks, marine safeguards (no-take zones)","Rocky coasts, bays, mangroves, coral reefs & seagrass beds (regulating & supporting); biodiversity protection & Moken seafaring heritage (cultural)","https://iwlearn.net/documents/download/5e3f165a-b7c8-4d6d-b068-cd6c9df89dd8;
https://www.fauna-flora.org/projects/ridge-reef-conservation-tanintharyi/","Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Meinmahla Kyun Wildlife Sanctuary,95.30080711,16.02463499,Wildlife Sanctuary; ASEAN Heritage Park,"KfW German Financial Cooperation (BMZ No. 2011 66 545) via ACB; EUR 581,027 total: mangrove restoration & livelihoods (EUR 366K), CMP (EUR 100K), law enforcement (EUR 90K) & conservation awareness (EUR 25K)",Bilateral Grant,"NWCD-MONREC (main implementing agency); Meinmahla Kyun Wildlife Sanctuary Park Management (on-site operations); grantees: Myanmar Environment Rehabilitation-conservation Network, Ecosystem Conservation and Community Development Initiative & Myint Myat Thu Doh Na Lone Tar; collaborators: local CBOs, ASEAN Centre for Biodiversity & GITEC Consulting Group","441 households & 48 direct beneficiaries (alternative livelihoods & capacity building); local laborers (seedling raising & restoration ditching); estuarine crocodiles, freshwater turtles, shorebirds & critically endangered flora/fauna","13,700-Hectare coastal wetland sanctuary situated within the Ayeyarwady Delta, Myanmar.",2015- 2019,"193,770 seedlings across 18 native mangrove species; 12 village revolving fund committees for post-project business creation; 2,000 fuel-efficient stoves distributed; SMART co-patrolling, informant network & Village Ranger Programme; Mobile Awareness Conservation Unit; permanent sample plots on Meinmahla Island for plant regeneration monitoring","Last Ayeyarwady Delta green space — storm risk reduction, critically endangered Sonneratia griffithii mangrove, Irrawaddy dolphin & long-tailed macaque (regulating & supporting); sustainable mangrove extraction & wetland education for delta communities (provisioning & cultural)",https://www.aseanbiodiversity.org/wp-content/uploads/2024/10/Meinmahla_FINAL_02-E-COPY-WITH-LINKS.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Moeyungyi Wetland Wildlife Sanctuary,96.60899736,17.54501491,Wildlife Sanctuary; ASEAN Heritage Park,"Norwegian Environment Agency (NEA) — joint program budget of USD 3,043,612 (implemented across multiple sites, not site-specific)",Bilateral Grant,Moeyungyi Park Staff & Field Rangers (management plan authors via 'Learning by Doing'); Regional Management Wetlands & Environment Experts (technical supervision & coaching),"Local community households, park rangers & seasonally migrating waterbird arrays","Moeyungyi wetland protected terrain, including a 16-village assessment belt",2015- 2019,16-village livelihoods survey on wetland extraction dependency (2017); Ramsar wise-use wetland pilot site; community attitude mapping study on wetland protection perceptions,"Water depth measurements & migratory bird surveys for Ramsar wetland functions (regulating & supporting); public outreach via essay, article & painting competitions for World Wetlands Day (cultural)",https://myanmarwaterportal.com/storage/2019/11/4a.nea-phase-i-kns-copy-2.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Nat Ma Taung National Park,93.80860809,21.40139844,Wildlife Sanctuary; ASEAN Heritage Park,"Norwegian Environment Agency (NEA) — joint program budget of USD 3,043,612 (implemented across multiple sites, not site-specific)",Bilateral Grant,NWCD/FD (local executing & management partners); Norwegian Environment Agency (technical cooperation partner),"Indigenous Chin communities, park ranger units & montane ecological wildlife","Chin State mountain landscape, reaching up to 10,500 feet above sea level",2015- 2019,"Community impact & human perspectives study; elevation-gradient biodiversity baseline mapping; field gear (GPS, binoculars, transport) & boundary signboard upgrades for illegal extraction management","Mountain savanna & pine-rhododendron forest for 300+ bird species incl. endemic White-browed Nuthatch (supporting); Chin cultural heritage, eco-trails, birdwatching & orchid sightseeing (cultural)",https://myanmarwaterportal.com/storage/2019/11/4a.nea-phase-i-kns-copy-2.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Nat Ma Taung National Park,93.80860809,21.40139844,Wildlife Sanctuary; ASEAN Heritage Park,"KfW German Financial Cooperation (BMZ No. 2011 66 545) via ACB; EUR 174,998 total: CMP (EUR 100K) & SMART law enforcement (EUR 75K)",Bilateral Grant,"NWCD-MONREC (primary implementing agency); WCS (SGP I implementation); Nat Ma Taung NP Management (on-site operations); collaborators: Conservation on Hill Ecosystem Association, SPECTRUM, Norwegian Environment Agency & GITEC Consulting Group; grantees: village conservation groups, CBOs & CSOs",68 local villages (ecological & livelihood support); 14 rangers & 2 park managers (law enforcement training); 4 voluntary community guardians; 345 bird & 35 mammal species incl. critically endangered Chinese Pangolin & endangered Western hoolock gibbon,"722,600 Hectares (as designated in the source portfolio text) located within the mountainous terrain of Myanmar.",2014-2019,"CMP & Township Protected Area Management Committees across 4 townships with Supporting Unit; SMART patrols (45 activities, 626 patrol days/nights, coverage expanded 24%→37.8%); community resource dependency baseline & ecotourism survey; KAP assessments across 31 villages for zoning integration","Montane endemic flora, multi-species bird populations & rare mammal gene pool preservation (supporting); stable natural resource provisioning & ancestral spiritual/aesthetic values for indigenous Chin people (cultural & provisioning)",https://www.aseanbiodiversity.org/wp-content/uploads/2024/10/NatMaTaung_FINAL_02-E-COPY-WITH-LINKS.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Popa Mountain Park,95.25871326,20.88352311,Wildlife Sanctuary; ASEAN Heritage Park,"Norwegian Environment Agency (NEA) — joint program budget of USD 3,043,612 (implemented across multiple sites, not site-specific)",Bilateral Grant,NWCD/FD (central supervising administrators); Norwegian Environment Agency (technical funding oversight); BANCA (site Management Plan drafting),"Regional forestry teams, conservation researchers & volcanic ecosystem wildlife","Popa Mountain volcanic reserve zone, Myanmar",2015- 2019,"BANCA-drafted participatory management plan (threat reduction & park zoning); ranger field equipment (GPS, binoculars, communication kits, boundary indicators)",Volcanic mountain microclimate ecosystem security & long-term conservation framework (supporting),https://myanmarwaterportal.com/storage/2019/11/4a.nea-phase-i-kns-copy-2.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
